Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year,Span
VICTORIA GONZALES HTS,BRITISH COLUMBIA,1018610,113,,WLM,48.41,-123.33,482447061,-1231930017,69.5,1898,2004,1953.0,2000.0,1898.0,2004.0,1898.0,2004.0,48.0
VICTORIA INT'L A,BRITISH COLUMBIA,1018620,118,71799.0,YYJ,48.65,-123.43,483850010,-1232533000,19.51,1940,2013,1953.0,2013.0,1940.0,2013.0,1940.0,2013.0,61.0
CAMPBELL RIVER A,BRITISH COLUMBIA,1021261,145,,YBL,49.95,-125.27,495707000,-1251623000,108.8,1965,2024,1979.0,2013.0,1965.0,2024.0,1965.0,2007.0,35.0
COMOX A,BRITISH COLUMBIA,1021830,155,71893.0,YQQ,49.72,-124.9,494300000,-1245400000,25.6,1944,2024,1953.0,2024.0,1944.0,2024.0,1944.0,2017.0,72.0
NANAIMO A,BRITISH COLUMBIA,1025370,192,,YCD,49.05,-123.87,490316000,-1235212000,28.04,1947,2016,1954.0,2013.0,1947.0,2016.0,1947.0,2007.0,60.0
PORT HARDY A,BRITISH COLUMBIA,1026270,202,71109.0,YZT,50.68,-127.37,504049000,-1272158000,21.6,1944,2013,1953.0,2013.0,1944.0,2013.0,1944.0,2013.0,61.0
CAPE SCOTT,BRITISH COLUMBIA,1031353,237,,WES,50.78,-128.43,504656040,-1282538020,71.6,1965,2024,1966.0,2001.0,1965.0,2024.0,1965.0,2007.0,36.0
TOFINO A,BRITISH COLUMBIA,1038205,277,,YAZ,49.08,-125.77,490456000,-1254621020,24.45,1942,2023,1960.0,2014.0,1942.0,2023.0,1942.0,2007.0,55.0
MERRY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1045100,320,,WMR,49.47,-123.91,492803030,-1235445040,7.2,1954,2024,1954.0,2001.0,1957.0,2024.0,1957.0,2007.0,48.0
LANGARA,BRITISH COLUMBIA,1054500,358,71899.0,WLA,54.26,-133.06,541518648,-1330328799,42.69,1936,2024,1954.0,2001.0,1936.0,2024.0,1936.0,2007.0,48.0
SANDSPIT A,BRITISH COLUMBIA,1057050,367,,YZP,53.25,-131.81,531514000,-1314847000,6.4,1945,2017,1953.0,2005.0,1945.0,2017.0,1945.0,2007.0,53.0
MCINNES ISLAND,BRITISH COLUMBIA,1065010,409,71897.0,WMS,52.26,-128.72,521542000,-1284310000,25.9,1954,2024,1955.0,2001.0,1954.0,2024.0,1954.0,2007.0,47.0
STEWART A,BRITISH COLUMBIA,1067742,434,,ZST,55.94,-129.99,555610000,-1295906000,7.3,1974,2016,1974.0,2015.0,1974.0,2016.0,1975.0,2007.0,42.0
TERRACE A,BRITISH COLUMBIA,1068130,441,71951.0,YXT,54.47,-128.58,542759000,-1283439000,217.3,1953,2013,1955.0,2013.0,1953.0,2013.0,1953.0,2013.0,59.0
TRIPLE ISLAND,BRITISH COLUMBIA,1068250,446,,WTI,54.29,-130.88,541740800,-1305249100,20.7,1953,2024,1953.0,2001.0,1989.0,2024.0,1989.0,2007.0,49.0
SMITHERS A,BRITISH COLUMBIA,1077500,487,,YYD,54.82,-127.18,544929000,-1271058000,521.8,1942,2018,1953.0,2012.0,1942.0,2018.0,1942.0,2010.0,60.0
PRINCE GEORGE A,BRITISH COLUMBIA,1096450,631,71896.0,YXS,53.89,-122.68,535327000,-1224044000,691.3,1942,2009,1953.0,2009.0,1942.0,2009.0,1942.0,2009.0,57.0
WILLIAMS LAKE A,BRITISH COLUMBIA,1098940,664,71104.0,YWL,52.18,-122.05,521059000,-1220315000,939.7,1960,2012,1961.0,2012.0,1960.0,2012.0,1961.0,2012.0,52.0
