Location,10yr,50yr,500yr
100 Mile House,21.54235396,24.56206258,29.16848515
Abbotsford,23.59846641,27.24916187,32.43298987
Agassiz,24.56206258,28.36182689,34.51261706
Alberni,20.05484012,23.26840168,27.81105938
Ashcroft,22.2488475,25.48925695,30.71831911
Bamfield,25.48925695,29.16848515,34.51261706
Beatton River,19.66538868,22.59381144,26.96382247
Bella Bella,26.08908624,29.16848515,33.6042309
Bella Coola,22.2488475,25.79091546,30.71831911
Burns Lake,22.2488475,25.79091546,31.46462188
Cache Creek,22.2488475,25.79091546,31.46462188
Campbell River,26.38388753,28.63323812,31.70948645
Carmi,21.54235396,24.87496772,29.95342764
Castlegar,20.4368714,23.59846641,28.36182689
Chetwynd,22.59381144,26.08908624,31.70948645
Chilliwack,24.56206258,28.36182689,33.83361398
Comox,26.38388753,28.63323812,31.70948645
Courtenay,26.38388753,28.63323812,31.70948645
Cranbrook,20.05484012,23.26840168,28.63323812
Crescent Valley,20.05484012,23.26840168,28.08779315
Crofton,23.26840168,26.08908624,29.95342764
Dawson Creek,22.59381144,26.08908624,31.70948645
Dease Lake,19.66538868,22.59381144,26.38388753
Dog Creek,21.54235396,24.56206258,29.16848515
Duncan,22.93358707,25.79091546,29.69408572
Elko,22.2488475,25.48925695,30.96908506
Fernie,22.2488475,25.48925695,31.70948645
Fort Nelson,19.66538868,22.59381144,26.96382247
Fort St. John,22.2488475,25.79091546,31.46462188
Glacier,19.66538868,22.93358707,28.36182689
Golden,20.4368714,23.92397788,29.95342764
Gold River,20.05484012,23.26840168,27.81105938
Grand Forks,22.2488475,25.48925695,30.96908506
Greenwood,22.2488475,25.48925695,30.96908506
Hope,28.36182689,32.67059737,39.91637945
Jordan River,27.24916187,30.71831911,34.95795957
Kamloops,22.59381144,26.08908624,31.70948645
Kaslo,19.26806714,22.59381144,28.08779315
Kelowna,22.2488475,25.48925695,30.96908506
Kimberley,20.05484012,23.26840168,28.63323812
Kitimat Plant,24.87496772,28.63323812,34.06145234
Kitimat Townsite,24.87496772,28.63323812,34.06145234
Ladysmith,23.26840168,26.08908624,29.95342764
